County Name,"One-Unit
Limit","Two-Unit
Limit","Three-Unit
Limit","Four-Unit
Limit"
AUTAUGA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
BALDWIN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
BARBOUR COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
BIBB COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
BLOUNT COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
BULLOCK COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
BUTLER COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CALHOUN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CHAMBERS COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CHEROKEE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CHILTON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CHOCTAW COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CLARKE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CLAY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CLEBURNE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
COFFEE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
COLBERT COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CONECUH COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
COOSA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
COVINGTON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CRENSHAW COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CULLMAN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
DALE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
DALLAS COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
DEKALB COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
ELMORE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
ESCAMBIA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
ETOWAH COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
FAYETTE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
FRANKLIN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
GENEVA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
GREENE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
HALE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
HENRY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
HOUSTON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
JACKSON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
JEFFERSON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LAMAR COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LAUDERDALE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LAWRENCE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LEE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LIMESTONE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LOWNDES COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MACON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
