zip,county,COUNTY
501,Suffolk County,SUFFOLK COUNTY
544,Suffolk County,SUFFOLK COUNTY
601,Adjuntas Municipio,ADJUNTAS MUNICIPIO
602,Aguada Municipio,AGUADA MUNICIPIO
603,Aguadilla Municipio,AGUADILLA MUNICIPIO
606,Maricao Municipio,MARICAO MUNICIPIO
610,Anasco Municipio,ANASCO MUNICIPIO
612,Arecibo Municipio,ARECIBO MUNICIPIO
616,Arecibo Municipio,ARECIBO MUNICIPIO
617,Barceloneta Municipio,BARCELONETA MUNICIPIO
622,Cabo Rojo Municipio,CABO ROJO MUNICIPIO
623,Cabo Rojo Municipio,CABO ROJO MUNICIPIO
624,Penuelas Municipio,PENUELAS MUNICIPIO
627,Camuy Municipio,CAMUY MUNICIPIO
631,Lares Municipio,LARES MUNICIPIO
637,Sabana Grande Municipio,SABANA GRANDE MUNICIPIO
638,Ciales Municipio,CIALES MUNICIPIO
641,Utuado Municipio,UTUADO MUNICIPIO
646,Dorado Municipio,DORADO MUNICIPIO
647,Guanica Municipio,GUANICA MUNICIPIO
650,Florida Municipio,FLORIDA MUNICIPIO
652,Arecibo Municipio,ARECIBO MUNICIPIO
653,Guanica Municipio,GUANICA MUNICIPIO
656,Guayanilla Municipio,GUAYANILLA MUNICIPIO
659,Hatillo Municipio,HATILLO MUNICIPIO
660,Hormigueros Municipio,HORMIGUEROS MUNICIPIO
662,Isabela Municipio,ISABELA MUNICIPIO
664,Jayuya Municipio,JAYUYA MUNICIPIO
667,Lajas Municipio,LAJAS MUNICIPIO
669,Lares Municipio,LARES MUNICIPIO
670,Las Marias Municipio,LAS MARIAS MUNICIPIO
674,Manati Municipio,MANATI MUNICIPIO
676,Moca Municipio,MOCA MUNICIPIO
677,Rincon Municipio,RINCON MUNICIPIO
678,Quebradillas Municipio,QUEBRADILLAS MUNICIPIO
680,Mayaguez Municipio,MAYAGUEZ MUNICIPIO
682,Mayaguez Municipio,MAYAGUEZ MUNICIPIO
683,San German Municipio,SAN GERMAN MUNICIPIO
685,San Sebastian Municipio,SAN SEBASTIAN MUNICIPIO
687,Morovis Municipio,MOROVIS MUNICIPIO
688,Arecibo Municipio,ARECIBO MUNICIPIO
690,Aguadilla Municipio,AGUADILLA MUNICIPIO
692,Vega Alta Municipio,VEGA ALTA MUNICIPIO
693,Vega Baja Municipio,VEGA BAJA MUNICIPIO
694,Vega Baja Municipio,VEGA BAJA MUNICIPIO
698,Yauco Municipio,YAUCO MUNICIPIO
703,Aguas Buenas Municipio,AGUAS BUENAS MUNICIPIO
704,Salinas Municipio,SALINAS MUNICIPIO
705,Aibonito Municipio,AIBONITO MUNICIPIO
707,Maunabo Municipio,MAUNABO MUNICIPIO
714,Arroyo Municipio,ARROYO MUNICIPIO
715,Ponce Municipio,PONCE MUNICIPIO
716,Ponce Municipio,PONCE MUNICIPIO
717,Ponce Municipio,PONCE MUNICIPIO
718,Naguabo Municipio,NAGUABO MUNICIPIO
719,Naranjito Municipio,NARANJITO MUNICIPIO
720,Orocovis Municipio,OROCOVIS MUNICIPIO
723,Patillas Municipio,PATILLAS MUNICIPIO
725,Caguas Municipio,CAGUAS MUNICIPIO
727,Caguas Municipio,CAGUAS MUNICIPIO
728,Ponce Municipio,PONCE MUNICIPIO
729,Canovanas Municipio,CANOVANAS MUNICIPIO
730,Ponce Municipio,PONCE MUNICIPIO
731,Ponce Municipio,PONCE MUNICIPIO
735,Ceiba Municipio,CEIBA MUNICIPIO
736,Cayey Municipio,CAYEY MUNICIPIO
738,Fajardo Municipio,FAJARDO MUNICIPIO
739,Cidra Municipio,CIDRA MUNICIPIO
740,Fajardo Municipio,FAJARDO MUNICIPIO
741,Humacao Municipio,HUMACAO MUNICIPIO
745,Rio Grande Municipio,RIO GRANDE MUNICIPIO
751,Salinas Municipio,SALINAS MUNICIPIO
754,San Lorenzo Municipio,SAN LORENZO MUNICIPIO
757,Santa Isabel Municipio,SANTA ISABEL MUNICIPIO
